name,address,website,no,Column 5,Column 6
JMG life style.pvt ltd,madhusudan nagar,no,9040062997,,
sgbl ltd,sati choura chaka,normal,6712362361,,
jayant the new india assurance,siba bazar,no,9437080095,,
shriram finance traing center,gandarpur,normal,18001034959,,
dwo office ,chandini chowk,no,6712304151,,
baideswar infra project pvt ltd,cda10,no,9040019007,,
intas pharmaceticals ltd,nandi sahi,no,6716541939,,
adinathn agencies,mahatab rd,no,7205050505,,
UTgate,cda1,no,8722694919,,
skylab & company,chauliaganja,no,9238999938,,
kalinga group,nimachouri ,no,9437191459,,
reliance nippon life insurance ,mangalabag,yes ,18001021010,,
vestige cuttack-1  dlcp,puri bus stand,normal,9777314862,,
shreeram agency,muncipal colony,no,9861454554,,
the oriental insurance company ltd,mangalabag,no,6712415159,,
bhart salt & chemical industries,mangalabag,no,6712620241,,
winmark ,bajrakbati,no,9437437437,,
patel and company,machhua bazar,normal,9876543210,,
sradha web creation,jobra rd,normal,7008182025,,
raghupatee estate,surya viahr,no,9938050202,,
vrl logictstics ltd,chhatra bazar,normal,9337001240,,
pnb metlife india insurance,siba bazar,normal,18004256969,,
niva bupa ,singh  plaza 1st floor,no,9437107817,,
purbanchal trading comp,manisahu chak,no,9861403645,,
utkal tea company,mangalabag,no,9692045513,,
bsnl bhaban,shakti nagar,normal,6712367152,,
bajaj auto credit,gandarpur,normal,7948229393,,
cesu office ,bajrakbati,no,6712310279,,
euro food and brew,jagatpur,normal,9717885578,,
STAR health & allied insurance,buxi bazar,normal,6717965752,,
eicher trucks and buses,tangi,normal,8037839220,,
jganth food product,madhupatana ,no,6712341967,,
national insurance ,cantonment road,no,6712304272,,
srp arcade ,dolamundai,no,8917280077,,
mahalaxmi ent,dolamundai,no,9937266126,,
krishna courtyared,trisulia,normal,7064000111,,
smruti plaza,arunadaya market,normal,8048094451,,
dtdc express ,ranihat,no,6360794893,,
prestige xclusive,dolamundai,normal,6712910337,,
iceing point ,KESHAR PUR,NO,8249556117,,
CORPORATE RESOURCE ,IRC,normal,9338136693,,
IVTEX CORPORATE SOL,MANCHESWAR,normal,9692600127,,
ODISHA KNOWLEDGE CORP,JAYDEV BIHAR,NO,6743520021,,
NALCO BHABAN ,NAYAPAILI,NO,6742301988,,
CORPORATE LINK,IRC ,NO,6742550706,,
CONENTRIX,ASOHK NAGAR,NO,18007470583,,
INFRASTRUCTURE DEVLOPMENT,RUPALI SQUARE,NO,6742418581,,
STEEL AUTHORITY OF INDIA LTD,"7TH BAILION,BBSR",NO,9968597000,,
SRIYA INFRA STRUCTURE LEASING,NAYAPAILI,NO,6746506071,,
