CLINIC NAME,ADDRESS,MOBILE NO,WEBSITE,RESPONSIVE
SHUDDHI HIIMS(AYURVEDA Clinic),LINK ROAD,7528875283,NO,
DENTA CARE,MAHANADI BIHAR,8018038072,YES,NO
KALINGA HEALTH CARE AND CLINIC CENTER,KALINGA CHAKA,8249115055,NO,
PULSE CLICNIC,KAPALESWARA,,No,
NISKRUTI PHYSIOTHERAPY AND ORTHO CLINIC,CHOUDWAR,9776433040,No,
KALINGA DENTAKL CLINIC AND RESEARCH CENTER,KALINGA CHAKA,9437163750,No,
THYROCARE AAROGYAM CENTER,OTM,9827080867,NO,
MEHEK HEALTH CLINIC,CHARBATIA ROAD,9776883020,NO,
HEALTH POINT,COLLEGE SQUARE,8895006400,Yes,Chindi
BHABANI HEALTH CARE,KAPALESWARA,9937282438,NO,
SAI SUBHASHREE MEDICINE STORE,NUA SAHI,7008347588,NO,
SURYA CLINIC,COLLEGE SQUARE,9178399168,NO,
ASHIRBAD CLINIC,OMP SQUARE,9853509856,NO,
DAY AND NIGHT CLINIC,NAYA SADAK,9861120084,NO,
MODERN VALLY CINIC WITH DIGONSTIC CENTER,MAHANADI BIHAR,8895027601,NO,
KHUSI OPTICAL AND EYECARE,CHARBATIA ROAD,7894093538,NO,
AAROGYAM SKIN HAIR GYNECOLOGY LASER PCOD CLINICSS,MALI SAHI,8895249627,YES,CHINDI
ACTIVA HEAL PHYOTHERAPY CENETER,"IMMAM NAGAR,JAGATPUR",9937033218,NO,
ACHUTYA CLINIC AND MEDICAL HALL,MANGALABAG,,NO,
ASIAN OPTICAL EYE AND DENTAL CLINIC,JAGATPUR,6712490786,YES,CHINDI
CLINIC SHKTI,SCB MEDICAL ROAD,9338352658,YES,CHINDI
SAI SPEECH AND HEAR ING CLINIC,MACHUA BAZAR,8093565558,NO,
HARIBANSH NEUROLOGY CLINIC,KATHOGOLA ROAD,9692590927,YES,CHINDI
SAI NEURO CLINIC,MALHA SAHI,9668179515,YES,CHINDI
DEEPKA PODDAR GOEL(OMEO),KAZI BAZAR XHAKA,8917362791,NO,
BINAY HEALTH CLINIC,JOBRA SIKHARPUR,9338377723,NO,
JIVA AURYBEDA CLINIC,MALI SAHI,7008863215,YES,NORMAL
CHIRAYU MULTISOECIALLY CLINIC,PURIGHAT,6370717741,YES,CHINDI
ASTANG AYURVEDA ,POKHARIPUR,7008176012,YES,CHINDI
jansevak Hospital,CHOUDWAR,6712492321,YES,
DR.MANORANJAN ACHARYA,PANDA SHAI RD,9437226945,YES,NORMAL
OMM SAI PRASAD MEDICAL HALL,GANDHICHAK,9776277484,NO,
MAA BUDHI JAGUALI DENTAL CLINIC,NUNTIKIRI,9938572290,NO,
SUBHAM HEALTH CARE,JOBRA,8018831399,NO,
SIMPLEEKARE HEALTH,PALAMANDAP,7064764444,NO,
DOCTORS NEPHRO CLINIC,MACHUA BAZAR,9692088049,NO,
KEY FERTILITY AND IVF CLINIC,CUTTACK MAHANADI VIHAR,7978031481,NO,
ARPITA POLY CLINIC,JOBRA,9437176934,NO,
THE BRAIN AND SPINR CLINIC,MAHANADI BIHAR,9337002314,NO,
KALINGA CLINIC ,SCB MEDICAL ROAD,7873401111,YES,CHINDI
SHREE BINAYAK CLINIC,RANIHAT,9437597522,NO,
NIRVANA HEALTHCARE,BAJARAKBATI CANAL,9437597522,NO,
CLINIC SHAKTI ,SCB MEDICAL ROAD,9338352658,YES,CHINDI
ODISHA ORTHPAEDICS HOSPITAL,KATHOGOLA ROAD,6712304200,YES,CHINDI
HEALTH CLINC,BAJARAKBATI CANAL,6712311915,NO,
SKINEEDS CLINIC,JOBRA,7750056577,NO,
MEDICO DIAGNOSTICS,KATHOGOLA ROAD,7008876286,YES ,CHINDI
DR. SN. PARIDA,JOBRA,,NO,
FIRST SMILE DENTAL CLINC,MACHUA BAZAR,6371551483,YES,CHINDI
ALESTA WELLNESS,MANGALABAG,7846855800,YES,NOT BAD
DENTAL HELP CLINIC,RANIHAT,9437121631,NO,
PRAKASH EYE HOSPITAL,MATA MATHA SQUARE,9861266543,NO,
ADVANCE EYE CLINIC,KATHAGOLA ROAD,8984295415,NO,
AAROGYA EYE CLINIC,MAHANADI BIHAR,8100054792,YES,NOT BAD
ANSHI ORTHAPAEDIC CARE & VACCINATION CLINIC,SIKHAR PUR ROAD,8249106263,CHINDI,
BARBATI PAIN AND ULCER CLINIC,MACHUA BAZAR,,NO,
SAMALESWARI HEALTHCARE,MATHA MATHA,9337072400,NO,
PANCHAMUKHI DIAGONSTICS,MATHA MATHA,9439005930,NO,
SHREE MAHAVIR MEDICINE STORE,MANAGALABAG,8093508254,NO,
NARAYANEE CLINIC,MATHA MATHA,9776033586,NO,
DR UMESH CHANDRA PATRA PROF OF GASTRO,MATHA MATHA,9658672322,NO,
SIDHESWAR GASTRO & LIVER CLINIC ,MANGALABAG,,YES,NO
SWASTIK CLINIC,KHAPURIA,9439705269,YES ,CHINDI
DHWANI SPEECH AND HEARING CLININC,MATA MATHA SQUARE,9438276760,YES,NORMAL
SG POLYCLINIC AND PHARMACY,JUSTIC CHAK,9178943609,NO,
MY CLINIC,TRISULIA CHAK,7853087100,NO,
SMILINE DENTAL CLINIUC,MATHA MATHA,8339888998,NO,
DR DESHABANDHU BEHERA,MATA MATHA SQUARE,7846997244,NO,
WE CARE CLINIC & DIAGONSTICS,NAKHARA,9438812899,YES,CHINDI
KISHORE CHANDRA MOHANTY MEMORIAL CLINIC,KANIKA CHAK,9437168900,YES,CHINDI
DR. SWAIN CLINIC,GODIPATNA,9861085517,JUSTDIAL.COM,NO
NILAKANTHA BRAIN CLINIC,MANGALABAG,7985022365,YES,CHINDI
DR MANORANJAN DASH,COLLEGE SQUARE,9853658281,http://justdial.com/,NO
METRO CARE DIAGONSTICS AND POLYCLINIC,MANGALABAG,9853328254,NO,
DESAIR TO LIFE,JOBRA,7609981488,NO,
DR. SATYA RANJAN MOHANTY,MANGALABAG,9437163063,YES,CHINDI
SHREE JAGANATH HEALTH CARE,CDA-7,9337887505,YES ,CHINDI
MATRUKRUPA CLINIC,CDA-9,9861104008,NO,
DR.SIDHARTHA DASH,MANGALABAG,9853392660,YES,NORMAL
RUDRANI MEDICARE,RANIHAT,9937193514,YES,CHINDI
DR.KISHAN KUMAR AGARWAL,COLLEGE SQUARE,6712549208,NO,
SHREE GANESH HOMEO CLINIC,BUXI BAZAR,7008704503,YES,NOT OPEN
PATRA MEDICURE POLY CLINIC,NUAPATNA ROAD,9438267574,NO,
CLINIC SHAKTI ,OMP SQUARE,9338553764,NO,
Renu Dental clinic,"HIGH COURT ROAD,NIMCHOURI,CUTTACK",7008716903,YES,CHINDI
"DR ANURAG MISHRA,EYE CLINIC",DEVI GADA,7873751623,NO,
DENTAL LIFE BEST DENTAL IMPLANT CLINIC,CLOCK TOWER CHOWK,7381055145,YES,CHINDI
IGNITE SPEECH & HEARING CLINIC,DEVI GADA,9337055243,YES,NORMAL
DIVYA SANJIVANIPHYSIOTHERAPI CLINIC,MADHU SUDAN SETU SQUARE,9437959070,NO,
