NAME,ADDRESS,MOBILE NO,WEBSITE,Column 5,Column 6
SAI ENTERNATIONAL RESIDENTIAL SCHOOL,"RAMDASPUR,NUAGAON,CUTTACK",8114368700,,,
SAI EDUCATIONAL GROUP OF INSTITUTE,"MANGALABAG,CUTTACK",9583111212,no,,
SCHOOL & MASS EDUCATION,CHANDINI CHOWK,6712368085,yes(not responsive),,
SIKHSHA SAMRUDDHI BEST BED INSTITUTE CORP.,LINK RD,9337544428,yes(responsive),,
NARAYAN E TCHNO SCHOOL,NUAPADA,18001023344,no,,
MTS ACADEMY,TELENGA BAZAR,9338883272,yes(no res),,
Siksha Anusthan,nayabazar,8280500484,no,,
The educator ,cda10,7217821414,no,,
CHIRST COLLEGE,Kanika rd,6712301757,yes(no res),,
special 40 innovative school,cda6,7894285602,no,,
the achivers,Mahanadi vihar,9438565153,yes(responsive),,
saraswati science higher secondary school,LINK RD,6713554472,not responsive,,
JAGANATH COACHING OF EDUCTION,nayabazar,7978043513,YES NORMAL,,
KRISHNAMURTY WORLD SCHOOL,JAERIPADA,9438556301,YES NORMAL,,
DREAMLAND EDUCATION,CDA SEC-10,6264496295,NO,,
PRATHIBA CAREER INSTITUTE,SIKHAR PUR,7377151183,NO,,
MISSION SIKHSHA,NIMCHOURI,8480963120,NO,,
THE TENSOR PUBLIC SCHOOL,LINK RD,9337787626,,,
SHAKTI HIGHER SECONDARY SCHOOL,LINK RD,7326003333,yes,,
board of secondary ,"MANGALABAG,CUTTACK",6712415460,NO,,
sai kalinga,rwd colony,9337762799,NO,,
sri aurobindo scienceq,madhupatna,6712341727,NO,,
aalpee higher secondary school,LINK RD,8249682364,NO,,
sai inmfotech,bishram nsagar,6713150022,NO,,
sai kalinga,nayabazar,9439221940,NO,,
board of secondary ,ranhihat,6712415463,NO,,
stewart science college,buxi bazar,6712416007,,,
bpfio-biju pattnaik flim & television,bose campus,6712413968,,,
matrubhban school & college,madhupatna,6712344338,,,
Krishna guideline ,"Netaji Nagar, Cuttack",9090636811,No,,
ThinkZone,CDA SeC-11,9178198947,Normal,,
Stewart  School,"Buxi Bazaar, cuttack",6712415808,Normal,,
SIP Abacos Proffessorpada,Ranihat Colony,9437167532,No,,
JNS Biology,Khan nagar,7008811552,Chindi,,
Computer Institude - Siksha Computer academy,Old LIC Colony Cuttack,9439241592,Chindi,,
FIITJEE cuttack Center,Link Road,6712367105,Chindi,,
Mr. Das Advance Engineering,"Gandarpur, cuttack",8249627694,no,,
Swami Vibekananda Computer Academy,Jhinkiria Cuttack,9348985351,Chindi,,
Our Sapling Play School ,"Tulsipur, Cuttack",7008837972,Chindi,,
Manoj Commerce Institide,"sati Chaura, cuttack",9778878008,,,
Global Indian Modern School,Naya Bazar,9437922692,Chindi,,
institude of Computer Accountant,Bishram Nagar,9338805357,no,,
ICA Edu Skills ,"Arundaya Market, Cuttack",9827222922,Chindi,,
Best Ibps PLANET VIDYA Ssc," Arundaya colony, Cuttack",9437081288,Chindi,,
