Gym Name,Gym address,phon no,website,Column 5,Column 6
The Beast house ,charibatia rd,7978633375,no,,
the sweat and fit gym arena,jail rd,7978275190,no,,
fitness club gym choudwar,kalinga chak,7008463064,no,,
maxburn gym,infront choudwar college ,9438683146,no,,
squard fitness,infront of honda showroom,,no,,
mahaveer gym industries,bhabadeipur ,8282826384,normal,,
maxburn gym ibroad,ib road,9438683146,no,,
popular gym2.0-best unisex gym,"mangalabag,nuapatna",9338856611,normal,,
core fitness,buxi bazar,9114892019,no,,
max burn gym,"machhua bazar,cuttack",9438683146,no,,
momentum fitness ,macchua bazar,7077109999,no,,
maxburn gym jagatpur,jagatpur,9438683146,no,,
club1percent gym,alisha bazar,7064597752,no,,
uptown fitness 2,"ipicol square,jagatpur",,no,,
12*7finess,mangalabag,9937090482,no,,
tiger  fitness unisex gym,gurujhatia,8249735229,no,,
refrom fitness - ladies gym,"shelter chak,cuttack",7978078522,,,
ananda fitness,buxi bazar,9827833808,normal,,
DNA gym(BHANPUR),Cuttack sadar,7008807554,no,,
equinox gym the complete body,jobra colony,9040158669,no,,
fitness mantra gym,nandi sahi,9338881999,no,,
the gym factory,surya vihar,9853667711,no,,
HPN fitness,managalabag,9778023443,no,,
titan gym,naya bazar,6372256060,no,,
evolve fitness cuttack,Lic colony ,7377711179,no,,
momentum fitness ,macchua bazar,7077109999,no,,
armani fitness studio,dargha bazar,7008168853,no,,
iron fist ,cda9,8249405541,no,,
max burn gym,buxi bazar,9438683146,,,
stark gym ,dolamundai ,7381311775,no,,
bootcamp fitness,dargha bazar,9439956521,no,,
communefitness,college square,9938581222,no,,
uptown fitness ,badambadi,8847830773,,,
fityness mantra,mahanadi vihar,8249068372,,,
mo gym and cafe,omp,7205310024,,,
dc multigym & fitness,rajendra nagar,,,,
gym wavveq,mahanadi vihar,7008757062,,,
DNA gym(BHANPUR),patana,7008807554,,,
fitness mantra gym,cda9,7008851554,,,
sonaaerobics nad fitness ,mahanadi vihar,,,,
reform fitness ,"shelter chak,cuttack",7978078522,,,
oxygen + gym,"nupada,cuttack",8637232132,,,
Thunder,gandar,9658313597,,,
v tone fitness unisex gym,cda10,7008775206,,,
the fitness studio,buxi bazar,9439828776,,,
transform fitness club,cda6,8093008013,,,
hercules fitness,cda11,9937138288,,,
The Beast house ,charibatia rd,7978633375,,,
dream fit gym,balikuda,9348787002,,,
body shaper,badambadi,9238308086,,,
live fit unisex gym,link road,9853364653,,,
body by biren 24*7 gym,cda10,9078825115,,,
being fit gym,tangi,7438800809,,,
strong house gym,cda10,9438683146,,,
new age living gym cenmter,municpal colony,9861013120,,,
