NAME ,ADDRESS,MOBILE NO,Column 4,Column 5,Column 6
ROYAL INSTITUTE CDR,CHAUDWAR,9861559911,,,
ICA INFOTECH COMPUTER ACADEMY,KAPALESWAR,9861095887,,,
ROHIT INSTITUTE OF COMPUTER APPLICATION,KAPALESWAR,8984558222,,,
SRI KRUPA TECH SKIILS ACADEMY,KAPALESWAR,9692186567,,,
ACHIVE  COMPUTER EDUCATION,GANDHICHAK,9861581633,,,
ABACAUS CLASSES,KALINGACHAKA,9438479279,,,
ABS INTERNATIONAL SCHOOL,CHAUDWAR,8270379960,,,
EDUCAION POINT,NUABANIA SAHI,8658042294,,,
COLLAGE OF NUSRSHING,DAULATABAD,9124326602,,,
SANTOHSI INSTITUTE OF PHARMATICAL,NUNTIKIRI,8763642091,,,
SADANANDA INSTITUE,MANGALABAG,9338650904,,,
MICRO ACADEMY,CHAUDWAR,7008495268,,,
WISHDOM ACADEMY,CHARIBATIA,9439088238,,,
SADANANDA INSTITUE,RING RD,9338650904,,,
SAI INSTITUTE,LINK RD,9938751102,,,
MAMATA INSTITUTE,LINK RD,8984615561,,,
PRATIBHA CARRER INSTITUTE,MAHANADI VIHAR,7377151183,,,
JAGANATH INSTITUTE OF ENGINEERING & TECHNOLOGY,JAGATPUR,6712490935,,,
ALLEN CAREER INSTITUTE,CUTTACK,9414048056,,,
AR CREATION CENTER,AHALYA MANADAP,7903709150,,,
SARAWATI INSTITUTE OF COMMERECE,COLLGEGE SQAURE,8093390691,,,
AAKASH INSTITUE ,MADHUPATNA,8800849243,,,
SKILL FUL GUIDENCE ACADEMY,BUXIBAZAR,9040501220,,,
SHARMA ACAMEDY (COMMERECE),COLLGEGE SQAURE,9437272917,,,
ADITYA INSTITUTE OF MANAGMENT STUDIES,SAI BHABAN,7008474834,,,
OMAIR COMP ACADEMY,ARUNDHOYA MARKET,9438842452,,,
EXCEL ACADEMY,CUTTACK,7978935917,,,
TIME CUTTACK,ARUNDHOYA MARKET,9238132012,,,
VANIK ,LINK RD,8984556677,,,
