NAME,ADDRESS,WEBSITE,NO,Column 5,Column 6
biswakrama engineering,khapuria,normal,9337344384,,
pathak machine industtries ,jagatpur,normal,8895929247,,
pentacle food industries,link rd,no,8037531370,,
kaizen engineers pvt ltd,palamandap,no,1800120290,,
jyoti mixture,dolamundai rd,no,9437021399,,
u3s engitech pvt ltd,arundoya nagar,normal,6712314447,,
subhalaxmi  pet,jagatpur,no,9338092239,,
pk traders bag manufature,pthaour rd,normal,9861089897,,
indian plastic industries,jagatpur,normal,9861266888,,
THE ODISHA SMALL INDUSTRIES CORP,KHAN NAGAR,normal,6712341204,,
SK INTERNATIONAL,,NO,8926259809,,
PHYTO PHARMATICAL PVT LTD,JAGATPUR,NO,9439799994,,
PII PHARAMA PVT LTD,SIBA BAZAR,normal,9348112631,,
BHARAT SALT AND CHEMICAL INDUSTRIES,MANGALABAG,NO,6712620241,,
SHANTI ENTERPRIES ,MACHHUA BAZAR,NO,9777700929,,
SHANKAR STEEL CUTTACK,RAJABAGICHA,NO,9437038573,,
INSHAAN HEALTHCARE PVT LTD,KALYANI NAGAR,NO,6712341022,,
MUKESH TRADING CO,SIBA BAZAR,NO,9040208330,,
APEKSHA STEEL ,JAGATPUR,NO,7504151449,,
TAYAL PLASTIC INDUSTRIES,SIBA BAZAR,NO,6712341297,,
NATRAJ ENGINEERING,KHAN NAGAR,NO,9437045567,,
SAI ENGINEERING,OSEB COLONY,normal,9439422782,,
Aarati steel ltd,ghantikhala,normal,6713061150,,
pansor traders ,SIBA BAZAR,no,9338065965,,
cuttack agency,buxi bazar,no,7978985096,,
sourav steel,SIBA BAZAR,no,9090237197,,
glaze plastic industries,buxi bazar,normal,9437010051,,
the orissa implemnets ,dolamundai ,no,8280301749,,
bholenath traders,nuapatana,no,9437108663,,
skylab nad company,matha sahi,no,9238999938,,
jaganth steel,college square,no,9861016580,,
sai ram traders,arundoya market,no,9658864032,,
utkal chjemicals ,JAGATPUR,no,9437520612,,
janta mills stores ,MACHHUA BAZAR,no,8249942166,,
sai plastic ,gouri shankar park,no,9861048312,,
dot & dot gift manufacturing unit,bishram nagar,no,9938553222,,
glass palace ,badambadi,no,9437012505,,
barsha enterpries ,cuttack,no,8144285433,,
integrated silicon service lab,badambadi,no,9861292038,,
my home industries pvt ltd,gandarpur,no,9437182044,,
shankar trading company,mal godam,no,7809319216,,
shree jaganath textiles,SIBA BAZAR,no,9438175111,,
power ride,link rd,no,7978754123,,
cuttack stainless steel,lic colony,no,9777886601,,
cuttack  electrics,buxi bazar,no,9438604162,,
"bsp healthcare,cuttcak",MANGALABAG,no,6712999222,,
shree jaganath weighing,dolamundai ,normal,9337877406,,
duro maker interior designer,badambadi,no,7008177109,,
sri sai manufacturing,jhanjirmangal,no,7606907570,,
b.c mohanty and sons pvt ltd,telenga bazar,no,6716544734,,
ab commerical,college square,no,9040087999,,
MADBIKER CUTTACK,CANTONMEN ROAD,NO,7008680214,,
JS INDUSTRIES,MANCHESWAR,NO,9437058154,,
S.K INDUTRIES,MANCHESWAR,NO,9437404216,,
GREENLAM INDUSTRIES,BAPUJI NAGAR,normal,9777454079,,
SPERNISHA FOOD & ARGO INDUSTRIES ,JAYDEV BIHAR,NO,6742543543,,
GUPTA POWER INFRASTRUCTURE PVT LTD,LAXMI SAGAR,NO,6742313898,,
GAYATRI STRUCTURAL SOLUTION,KESOR RD,NO,7504284697,,
PRIME AGRO FOOD PROCESSING ,MANCHESWAR,normal,6742974801,,
RND LABRITRIES ,PATIA,normal,6742970358,,
RITIKA ENGINEERING PVT LTD,MANCHESWAR,NO,9937213333,,
S STAR INDUSTRIES,MANCHESWAR,normal,9078248366,,
ODISHA DRUG & CHEMICAL LTD,MANCHESWAR,NO,6742580250,,
