COMPANY NAME,ADDRESS,phone no,Column 4,Column 5,Column 6
Monarch DLX ,Gandhichak ,Could not find the 'address' column of 'leads' in the schema cache,,,
SWAGAT IN ROOFTOP,CHARIBATIA,7991424281,,,
JUST BAWARCHI THINGS,CHARIBATIA,9777275585,,,
AYUSHMAN GOOD FOOD,CHARIBATIA,9777938010,,,
ATITHI INN FAMILY ,JAGATPUR,,,,
CHIKEN LOUNG THE CAFE,OTM BAZAR,9937767947,,,
ADISH RESTURANTS,JAGATPUR,9437111075,,,
HOTEL GHAROI,Gandhichak ,7978629413,,,
OD 05 CDR ,CHARIBATIA,,,,
ELENA HOTEL,Gandhichak ,9861507414,,,
SUDH DESI ZAIKA,"NAZARR PUR,JAGATPUR",7008377790,,,
DEV PALACE,NANKAR,6371118989,,,
HOTEL NEW ELINA,Gandhichak ,,,,
SILVER SPOON HOTEL & RESTURANTS,KAPALESWAR,7978788971,,,
HOTEL ICE CAFE,CHOUDWAR,7608042747,,,
AADVIK HOTEL ,MANGULI CHOWK,9938880425,,,
food Mantra Resurants,RAJABAGICHA,7608843344,,,
Tandoori Dreamz,mahanadi vihar,9776067616,,,
HOTEL RAJ,BANIKA,9861079435,,,
ROJALIN HOTEL,MANGULI CHOWK,8637297073,,,
MANORAMA'S KITCHEN,SIKHAR PUR,9437061900,,,
GREEN BAWARCHI ,SATICHAURA,637070917,,,
CHATIA EXPRESS RESTURANTS,CHHATIA,9438383817,,,
SHRADHA HOTEL,BADASAHI,9437385201,,,
DESI KUKUD,PHULNAKHARA,7751906515,,,
HOTEL ATHIH ,"KHAIRAPARI,",7008244327,,,
INDIAN HOTEL & FAMILY RESTURANTS, NARANPUR,9776752272,,,
HOTEL NEW CUTTACK,BARANGA,7008642516,,,
MUNCHY'S ,BIDHYADHAR PUR,8144669957,,,
PANDA HOTEL & RESTURANTS,TAMGI,7325996191,,,
SAIKRISHNA ,CHAULIAGANJA,7978793198,,,
HOTEL BAPI,CUTTACK,8249599809,,,
DESI AROMA RESTURANTS,ADASPUR,7077631449,,,
HOTEL GREEN LAND,CUTTACK,9777291896,,,
AARA THE FAMILY A/C ,GANGADHARPRASAD,7855059492,,,
Fatboy Restro & Cafe,college square,7008288560,,,
SUNDAY A ROOFTOP & CAFE,CDA-10,9861457643,,,
SQUAD RETRO AND CAFE,college square,9114227777,,,
DELLY BELLY CUTTACK,CHOUDHURY BAZAR,7381429983,,,
THE AROMAS MULTI CUISINE ,MADHUPATNA,8984321411,,,
JIMIZZ RESTURANTS,CDA-9,9437456666,,,
DREAM LAND FOODS ,mahanadi vihar,9777797055,,,
SPICY VILLAGE,mahanadi vihar,9692615500,,,
ROOFTOP LONDON AND CAFE RESTURANTS,"TRISULIA,CUUTACK",,,,
BLAST,REX PLAZA,7873557777,,,
EVA RESTURANTS,KHAN NAGAR,9337804091,,,
SPICY FLAMES ,SURYA VIHAR,9827599901,,,
SEASONS RESTURANTS,RANIHAT,6712431476,,,
DAILY DARBAR,"MUNIPAL COLONY,CTC",9776073621,,,
BARBATI RESTURANTS,DARGHABAZAR,9338105225,,,
SPICE TREAT ,SIKHAR PUR,8763086080,,,
GRAND DARBAR RESTURANTS,PALAMANDAP,6712313229,,,
VOYAG MULTI CUISINES RESTURANTS,GOPAL PUR,9337593090,,,
TISHA'S,college square,6712549000,,,
FILMY FOOD ,CDA-10,6370698855,,,
SWADESHI THE FAMILY RESTURANTS,CUTTACK,8249337661,,,
MEZBAAN RESTURANTS,"TRISULIA,CUUTACK",6372230639,,,
KRAZZY3 FAMILY RESTURANTS,KHAAN NAGAR,7978551456,,,
THE POPEYE THEORY -SKY LONG & RESTRO,college square,9123088654,,,
NEON CAFE AND RESTURANTS,college square,9937165910,,,
DROOL,DOLMUNDAI,9407935889,,,
MUGHLAI KING,BAJRAKBATI,9437605928,,,
HOUSE OD SALAT'S ,CDA,7377737799,,,
GUCHI'S RESTURANTS,LINK RD,7790002123,,,
GOLDEN SAFFRON RESTURANTS,CDA-9,7978583945,,,
THE KATKI RESTRO & CAFE,CDA-10,9853116524,,,
FLAMES RESTURANTS,RAJENDRA NAGAR,9040630306,,,
DEXTER'S,CDA-11,7749932951,,,
INDIAN CHIKEN EXPRESS,COLLEGE ROAD ,8144882134,,,
THE FOUR MULTI CUISINE RESTURANTS,"TRISULIA,CUUTACK",8260707298,,,
GAY-TOP RESTURANTS,CHANDINI CHOWK,9437225832,,,
FALTU RESTURANTS,JOBRA DURGA MANDAP,9937642088,,,
TASTE OF ODISHA,CDA-11,9583589263,,,
ADDA PAN ASIAN,CDA-9,7440000185,,,
MIRCHI RESTURANTS,SURYA VIHAR,7609061308,,,
TISHA'S,COLLEGE SQUARE,6712549000,,,
YELLOW CHILLI RESTURANTS,BUXI BAZAR,9348261077,,,
KALYANI RESTURANTS,MAGALABAG,9776872662,,,
SHOLKA RESTURANTS ,KANIKA RD,9778011724,,,
RESTURANT 2.0 & CAFE,JOBRA DURGA MANDAP,9040910746,,,
RESTRO 2.1,TULSIPUR,7008413469,,,
ROYAL CAFE & RESTURANTS,NANDI SAHI,7008013692,,,
HUNGER STATION,CHANDI CHOWK,7978036249,,,
RAJDARBAR RESTURANTS,SIBA BAZAR,8280520478,,,
NEW MUGHLAI RESTURANTS,JOBRA RD,8280147791,,,
NAWAB RESTURANTS ,CDA-6,7008620034,,,
DUBAI FOOD BOOK ,JOBRA COLONY,8971291398,,,
ADITYA RESTURANTS,BARBATI STADIUM,9437303823,,,
NOON2 NINE ,SRI SRI UNIVERSITY,9040800787,,,
BIJAY DHABA,BHANPUR,9778525412,,,
GRAND HOTEL AND RESTAURTANTS,DOLMUNDAI,8249499353,,,
WOK AND KADAI,BALU BAZAR,9861103664,,,
ARABANIA MEHFIL,DARGHABAZAR,8249533165,,,
LOCHA  FOODS,BAJRAKBATI,8637295309,,,
GHEE ROAST KITCHEN,CDA-6,7854000657,,,
ATITHI DHABA,FAKIR PADA,9861111983,,,
HYGENIC RESTURANTS,ARUNDHOYA MARKET,9853344755,,,
S.MAYEE SIGNATURE ,SIKHAR PUR,9776125415,,,
TADKA RESTURANTS,RING RD,7978884990,,,
M/S BIJAY HOTEL,BHANPUR,9778525412,,,
SHREE VINEETH'S FOOD COURT,BADAMBADI,9437121991,,,
ODISHA PANTRY(CLOUD KITCHEN),CUTTACK,9776332054,,,
JAGAMOHAN RESTURANTS,DARGHABAZAR,943995369,,,
JAGADAMBA FAST FOOD AND RESTURANTS,CHAULIAGANJA,8895108631,,,
VYANJAN REST..,ORIYA BAZAR,9438172900,,,
SURUCHI RESTURANTS,NAYA SADAK RD,9437052406,,,
INDIAN  CHIKEN EXPRESS,DARGHABAZAR,8144880575,,,
SHREE BALAJI SOUTH INDIAN ,RANIHAT,9777220931,,,
THE MUGHLAI KING,ARUNDHOYA MARKET,8327739780,,,
MUGHLAI CHIEFS,PURIGHAT,9861138920,,,
TRILOCHAN SAHOO FAMILY RESTURANTS,BISHRAM NAGAR,9861135383,,,
U ME AUR HUM,NIMCHOURI ,9338031999,,,
KATHAJODI RESTURANTS,BADAMBADI,9033227142,,,
WOW CHINA,CDA-6,7044447026,,,
GREEN RED AC,LINK RD,9861107786,,,
HONK KONG RESTURANTS,BUXI BAZAR,9937165203,,,
FOODCO,BUXI BAZAR,9438094370,,,
KRISH FAMILY RESTURANTS,BAJRAKBATI,8338808890,,,
REFILL TUMMY ,CDA-11,6370556006,,,
HOTEL NEW CUTTACK,MADHUBANA,7008642516,,,
BANDARA,CHAULIAGANJA,7008364325,,,
CURRY LEAF KITCHEN ,MADHU PATNA,9827413062,,,
SALT FOOD RESTURANTS,JOBRA,6291449370,,,
VARENYA'S FOOD ARENA,NAYAPALLI,7377066666,,,
GREENCHILLYZ THE RESTURANTS,SIBA BAZAR,6712411110,,,
SKY HI,KALINGA NAGAR,9827464640,,,
WOODLAND ODISHA RESTURANTS AND CONVENTIONS,PATIA,9938013008,,,
THE SKY LANTERN BBSR,DURGA MADHAB NAGAR,8249093974,,,
MALVA RESTURANTS,PATIA,9040096077,,,
MARIGOLD RESTURANTS,BAPUJI NAGAR,9583000660,,,
LEMON GRASS,JAYDEV BIHAR,9238413108,,,
OOPRE KITCHEN & BAR,PATIA,8093002098,,,
STARLIT CIVILINS ,SATYA NAGAR,9040487979,,,
VENUS IN RESTURANTS,BAPUJI NAGAR,9437051812,,,
THE GOURMET RESTURANTS,JAYDEV BIHAR,9338217327,,,
GOLDEN BIRD HOTEL PUSHPAK,LAXMI SAGAR,7735034301,,,
VELVET SKY LOUNG,SHREE VIHAR,9830277147,,,
SMOG RESTRO CAFE,GAJAPATI NAGAR,9692301111,,,
9TH STREET ,MADHUSUDAN NAGAR,9090909907,,,
CRUNCHY MUNCHIE,LAXMI SAGAR,9124941601,,,
SWADISHT GRAND MULTI CUISINESS RESTURANTS,LAXMI SAGAR,7787870000,,,
SPICY FLAMES ,MAGNETIC SQUARE,9827599901,,,
OPPHEEM ROOFTOP LOUNG & BAR,PATIA,977716678,,,
MOODY BLUES BAR AND RESTURANTS,GAJAPATI NAGAR,8337900990,,,
THE CHEF RESTURANTS,KALINGA NAGAR,9348671419,,,
BEYRUT CLASSY DINE,KHARVAL NAGAR,7008488337,,,
SABOOZ RESTURANTS,SIDHI VIHAR,8093559001,,,
B3 RESTURANTS,JAGAMARA,7327002665,,,
NUM NUM -THE ULTIMATE TASTE,ACHARYA VIHAR,8018272786,,,
ZAIKA PALACE,GAJAPATI NAGAR,9776143123,,,
TRUPTEE VEG RESTURANT,KALPANA CHOWK,8260020777,,,
TASTE OF CHINA ,BAPUJI NAGAR,9040022205,,,
LYFE KITCHEN ,BHOINAGAR,9124562811,,,
SHAHI AROMA,RASULGARH,8984182185,,,
SILVER STREAK SAHID NAGAR,SAHEED NAGAR,7978635184,,,
THE PAGODA,SARADEIPUR,9124623223,,,
CAFE SUNDOWNER ,LAXMI SAGAR,7064449001,,,
THE CHEF,NAYAPAILI ,6742563448,,,
AaNGAN PREMIUM,GAJAPATI NAGAR,8093093013,,,
ROLLING CRUNCH'S CAFE & RESTURANTS,SAHEED NAGAR,7873410010,,,
NARULA'S RESTAURANTS,ASHOK NAGAR,7788099099,,,
SLAT KITCHEN & LLOUNGE,"ARYAPALLI,PATIA",9674663303,,,
THE BLACK FOREST,PHULNAKHARA,9938662454,,,
ODISHA HOTEL,SAHEED NAGAR,9861887700,,,
THE CHEF,NAYAPALLI,6742563448,,,
THE MIRCHI MASALA GRAND RESTUARANTS,PAHALA,9853583830,,,
HIGH ME UP ,IRC VILLAGE,7853885570,,,
99 NORTH RESTUARANTS,INFOSY ROAD,7790003499,,,
THE BASIL CAFE,KALINGA NAGAR,8018491379,,,
ARABIKAAS,PATIA,9646767888,,,
DIL-E-MUGHLAI,KHANDAGIRI,9692473630,,,
SIGREE RESTAURANTS - ESPLANADE MALL,RASULGARH,9078836888,,,
STARLIT  ,SATYA NAGAR,9178055381,,,
HERMIT'S ZINGIBIER,PATIA,8328824551,,,
9th Bistro,SAHEED NAGAR,9040181625,,,
OD 02 - A5817,PURI BY PASS ROAD,8895927000,,,
CABANA TERRACE LOUNG PAL HEIGHTS,PAHALA,9776001010,,,
TCD RESTURANTS AND BANQUET,PATIA,9777625804,,,
THE RESTUARANTS -TRIDENT BHUBANESWAR,NAYAPAILI ,6743010000,,,
SAI'S GRILL GHARANA,JAYDEV BIHAR,826085820,,,
TANGERINE CAFE LOUNG,KHARVAL NAGAR,8144853178,,,
SHIROSE RESTAURANTS,SAHEED NAGAR,9040009994,,,
THE LIVING ROOM,NAYAPALLI,7440090000,,,
MAINLAND CHINA,IRC VILLAGE,9338832133,,,
THE PAKWAN FAMILY RESTUARANTS,IRC VILLAGE,9040892234,,,
CHILLOUT,PATIA,9937928409,,,
MILKY DEN VEG RESTUARANTS,KHARVAL NAGAR,9556161655,,,
TIAMO RESTRO CAFE,NAYAPAILI ,8339006161,,,
BUFFET RESTUARANTS AND BANQUET,JAYDEV BIHAR,9337636010,,,
KANIKA,JAYDEV BIHAR,7077771763,,,
CHILI'S GRILL & BAR,RASULGARH,6742588130,,,
STARLIT,SATYA NAGAR,9178055381,,,
PIND DA DHABA,PAHALA,834200062,,,
NEW JUNGLE JUNKET RESTURANTS,SUNDARPUR,9583108107,,,
RED LEAF RESTURANTS,RAGHUNATH PUR,7205861129,,,
PREAM SWEETS AND VEG RESTAU RANTS,SAHEED NAGAR,7735257553,,,
SEIYANSHI MULTI-CUISINE RESTUARANTS,TAMANDO,7008100660,,,
AB'S ABSOLUTE BARBECUSE,PATIA,7337383769,,,
TREAT (MULTI-CUISINE RESTUARANTS,JAYDEV BIHAR,7978465642,,,
EASTERN SPICZ RESTUARANTAS,PHULNAKHARA,9439506646,,,
NICE RESTAURANTS,LAXMI SAGAR,9337100222,,,
YETI -  THE HIMALAYA KITCHEN,LAXMI SAGAR,9040501134,,,
MAA SANTOSHI RESTUARANTS,SAHEED NAGAR,9439857045,,,
ALINA HUB HOTEL,SAHEED NAGAR,9668426245,,,
SHREE KUNJ,JAYDEV BIHAR,9692122245,,,
SAGARS RESTUARANTS,GABILO,9078833373,,,
KEEVA RESTUARANTS,KAHANDAGIRI,9777570643,,,
MUTTON CHULA CHAUKI,JAGAMARA,9437514443,,,
DALMA,MADHUSUDAN NAGAR,9238459239,,,
LUCKY'S KITCHEN,KESORA,8938934888,,,
ASIAN DELICACYY,SAHEED NAGAR,9836617771,,,
THE VILLAGE STORY,PATIA,9090964499,,,
AQUA SEA FOOD RESTUARANTS,KHARVAL NAGAR,6746655555,,,
OCEANA,KHARVAL NAGAR,6743019000,,,
SHAHI DARBAR RESTUARANTS,HI-TECH,8144959400,,,
WELCOMECAFE,DUMDUMA,6747147140,,,
THE VEGGIE HUB,NILAKANTHA NAGAR,7735993149,,,
RICE BOWL CONVENTION,JAYDEV BIHAR,6742547862,,,
CHIKPRET DONNE BRIYANI HOUSE,ACHARYA VIHAR,8926289564,,,
BAWARCHI TEN11 ,SATYA NAGAR,9861131133,,,
HOTEL NAMASTE ,NAYAPAILI ,7978914151,,,
EVENT SQUARE BUFFET ,JAYDEV BIHAR,9337636010,,,
MIRCHI MASALA,KHARVAL NAGAR,9238022004,,,
HALDI,NAYAPAILI ,7077777139,,,
HOTEL BLUE HEAVEN,SAMANTA VIHAR,6742302999,,,
KYTCHIN,JAYDEV BIHAR,9938010070,,,
FAMILY RESTUARANTS,CHANDRASHEKHARPUR,9938373732,,,
HAREKRUSHNSA VEG RESTAURANTS,RASULGARH,9938169565,,,
THE ONION RESTAURANTS,KALINGA STADIUM CHAKA,9040473607,,,
HIMALAYA MULTI CUSIONE RESTAURANTS,IRC VILLAGE,9861010589,,,
JJ'S BAWARACHI,GANGA NAGAR,9114004409,,,
AYUSHMAN'S RESTUARANTS,CHARIBATIA,9777938010,,,
FOOD FATAAKA ,ACHARYA VIHAR,7327026353,,,
XENIA - HOTEL SANDY'S TOWER,JAYDEV BIHAR,6746665555,,,
CHICKPET DONNE ,ACHARYA VIHAR,8926289564,,,
MACHARANKA- SOMETHING FISHLY,JAYDEV BIHAR,9938999902,,,
TWENTY ONE ,BHARATPUR,9178116498,,,
BAY LEAF'S KITCHEN,NAUGAON,9692067121,,,
ZODIC CAFE,IRC VILLAGE,6746688888,,,
THE INDIAN COTTAGE,PAHALA,9114919354,,,
GRAND KALINGA,NILADRI VIHAR,7205001302,,,
MIRCH MASALA,KHARVAL NAGAR,9238022004,,,
GREEN VIEW RESTAURANTS,KHAMANGA ,9439902361,,,
ODIA DALMA,MADHUSUDAN NAGAR,7873763848,,,
WTF-WE THW FOODIEEE,SAHEED NAGAR,9674950788,,,
CONTRY EAT-IN,KOTODOKANTA,8917386002,,,
THE SPICE IN RESTUARANTS,PURI BY PASS ROAD,9853364193,,,
SAI RESTAUURANTS,SATYA VIHAR,8328936362,,,
SWAAD,FOREST PARK,9338086531,,,
