Name,Address,website,no,Column 5,Column 6
Bhummi porperties,link road,normal,7008800431,,
baideshawar infra projects ,cda10,yes,7381093702,,
LAXMINARAYAN PROPERTIES,CDA11,NO,7008342715,,
ORIHOMEZ,link road,NO,7008800431,,
EASTERN ESTATE,URALI,GOOD,6299056530,,
RAGHPATEE ETSTE,SURYA VIHAR,NO,9938050202,,
LAXMINARAYAN PROPERTY,BANMALI PUR,NO,8917692113,,
MAYURI VIHAR,BARANGA RD,NO,9437006100,,
888 SECURITY SYSTEM  KITCHEN ,DARGAPADA,NO,9437112139,,
DIONS SKY WALK,CDA8,GOOD,9692141444,,
CAPDEAL REALTY CARE ,JAYDEV BIHAR,NO,7969451111,,
KINGSTONE RESIDENCY,BUXIBAZAR,YES,7205640007,,
TANYA REAL ESTATE AND MEDIA PVT LTD,RASULGARH,NO,6371304040,,
orimark prperties buy sale,saheed nagar,normal,8847837744,,
MYSPACE REALTY PVT LTD,saheed nagar,NO,9238123456,,
RAAN PROPERTIRES PVT LTD,PATIA,normal,7381063634,,
RANBOW ASSETS PVT LTD,RASULGARH,normal,9853011901,,
CAPDEAL REALTY CARE ,JAYDEV BIHAR,NO,7969451111,,
CAPITAL REALTY CARE,RASULGARH,NO,9437683918,,
LIFE STYLE PROPERTIES PVT LTD,NAYAPAIILI,normal,9437975717,,
ODISHA ONE ,NAYAPAIILI,normal,9437007071,,
ISRAIL REAL ESTATE,DUMDUMA,NO,8260026403,,
THE ROOF ,saheed nagar,normal,9937000123,,
DREAM APPAN PROPERTY PVT LTD,saheed nagar,NO,8596969431,,
NARULA REALTY,KHARVELA NAGAR,NO,8018888888,,
SHREYANSH PROPERTIES,PATIA,NO,7978636110,,
ONLY PROPERTY,BARMUNDA,NO,9594627772,,
BAIBHAB PROPERTIES,MALLIPADA,NO,9777238023//9777200000,,
NALININ REALTY,KALINGA NAGAR,NO,7010607697,,
EUPHORIA PROPERTIES PVT LTD,RASULGARH,normal,7077933376,,
MY HOME ESTATE,SRIRAM VIHAR,NO,7381360887,,
ABSB REALTY PVTBLTD,JAYDEV BIHAR,normal,9238902929,,
SS REALTY SERVICES,KHADAGIRI,NO,9937384053,,
UTKAL PROPERTY,BARMUNDA,NO,7077600666,,
PRABANDHAONLINE.COM,IRC VILLAGE,NO,9338881102,,
KAPIS REALTY,BHOUMA NAGAR,NO,9777412508,,
STAIRWAY DEVLOPERS PVT LTD,IRC VILLAGE,normal,9090055666,,
newway properties,saileshree vihar,not resposive,8144084450,,
saini properties,RASULGARH,normal,9124570571,,
dream house reality,KALINGA NAGAR,normal,9556437584,,
tathya real-estate,RASULGARH,no,6371304040,,
shivansh realty,IRC VILLAGE,normal,9853114667,,
motwani cont. pvt ltd,RASULGARH,normal,9090102626,,
cosmos realty mangament,patia,no,9040022393,,
saswat istruction pvt ltd,saheed nagar,GOOD,9040555666,,
buy sale property pvt ltd,jatani,normal,9777135113,,
resdential plot in bbsr,saptastia vihar,GOOD,8658131729,,
laxmi infra venture pvt ltd,saheed nagar,GOOD,6742549387,,
house rent in bhubaneswar,"forest park,bbsr",no,8984003797,,
aszone pvt ltd,gautam nagar,normal,9827761184,,
devayoni property,bbsr,normal,9090333111,,
near by house ,JAYDEV BIHAR,normal,7008755969,,
add with us,IRC VILLAGE,no,9338881101,,
sekhar builders and ptomotorsc ,IRC VILLAGE,avarage,9437062040,,
omacas properties,NEELADRI VIHAR,NO,6743555464,,
REALESTATE KING,GAJAPATI NAGAR,avarage,9827503678,,
BHOOMI INFRA,DLF CYBER CITY,normal,9776607007,,
TRISHAKTI PROMOTERS & BUILDERS PVT LTD,RASULGARH,normal,9238384102,,
house rent in bhubaneswar,TRIPURA NAGAR,normal,9132963375,,
99ACRES BBSR,RASULGARH,GOOD,7381091860,,
SQUARE LOOP ESTATE,BARMUNDA ,NO,9776655888,,
ohhpro junction,kanan vihar,normal,8093220166,,
utkal isquare ,patia ,normal,8926974113,,
okkala group,vss nagar,normal,7064317777,,
diptimayee mohapatra advocate,baramunda,no,9692880561,,
buildmart venture,jagamara,normal,7205994333,,
azus engineer pvt ltd,IRC VILLAGE,no,9938127999,,
surekha manthan ,rudrapur,normal,9124000444,,
gurumaharaja engicon pvt ltd,NAYAPAIILI,normal,8093014500,,
smc integrated facility solutions,bomikhal,normal,1146464444,,
amrut cont eng. services,jagamara,normal,7008054761,,
TATA STEEL SPECIAL ECONOMICZONE LTD,MAITRI VIHAR,normal,8114382585,,
housing lord - buy rent,madanpur,normal,6371636969,,
span consttruction,saheed nagar,resposive,6743192887,,
new like building system pvt,IRC VILLAGE,normal,8658319256,,
pramila project pvt ltd,NAYAPAIILI,not resposive,7042615199,,
life style spring,uttara,normal,9853030037,,
ppl housing colony,khandagiri,no,9040490686,,
property dealer bbsr,kanan vihar,no,9438030004,,
wedial cont. & interior,khandagiri,no,7008066305,,
anupam multiproject pvt ltd,KHARVELA NAGAR,no ,9861655314,,
